Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
75192,sw0878,,1,NEW,70.35,70.35
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.33,9.33
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.23,32.23
75192,sw0878,,1,NEW,70.52,70.52
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.32,9.32
76269,sh0920,,1,NEW,25.34,25.34
76269,sh0920,,1,USED,23.60,23.60
76269,90398pb044,,1,NEW,3.15,3.15
76269,90398pb044,,1,USED,2.14,2.14
76269,sh0922,,1,NEW,13.93,13.93
76269,sh0922,,1,USED,12.31,12.31
76269,sh0908,,1,NEW,9.51,9.51
76269,sh0908,,1,USED,7.80,7.80
76269,sh0852,,1,NEW,13.01,13.01
76269,sh0852,,1,USED,10.78,10.78
76269,sh0730,,4,NEW,6.51,26.04
76269,sh0730,,4,USED,5.09,20.36
76269,sh0930,,1,NEW,20.42,20.42
76269,sh0930,,1,USED,20.69,20.69
76269,sh0921,,1,NEW,21.33,21.33
76269,sh0921,,1,USED,18.90,18.90
76269,sh0933,,1,NEW,7.17,7.17
76269,sh0933,,1,USED,7.48,7.48
76269,sh0929,,1,NEW,18.55,18.55
76269,sh0929,,1,USED,18.04,18.04
76269,sh0925,,1,NEW,50.96,50.96
76269,sh0925,,1,USED,56.74,56.74
76269,sh0932,,1,NEW,82.12,82.12
76269,sh0932,,1,USED,79.65,79.65
76269,sh0923,,1,NEW,100.64,100.64
76269,sh0923,,1,USED,92.61,92.61
76269,sh0853,,1,NEW,21.83,21.83
76269,sh0853,,1,USED,19.60,19.60
76269,sh0931,,1,NEW,32.09,32.09
76269,sh0931,,1,USED,27.51,27.51
76269,sh0860,,1,NEW,22.64,22.64
76269,sh0860,,1,USED,21.14,21.14
76269,sh0585b,,1,NEW,9.94,9.94
76269,sh0585b,,1,USED,7.40,7.40
76269,sh0926,,1,NEW,12.82,12.82
76269,sh0926,,1,USED,9.69,9.69
76269,sh0917,,1,NEW,24.92,24.92
76269,sh0917,,1,USED,20.89,20.89
76269,sh0918,,1,NEW,23.30,23.30
76269,sh0918,,1,USED,20.63,20.63
76269,sh0919,,1,NEW,25.49,25.49
76269,sh0919,,1,USED,22.21,22.21
76269,sh0897,,1,NEW,17.58,17.58
76269,sh0897,,1,USED,18.08,18.08
76269,sh0927,,1,NEW,67.36,67.36
76269,sh0927,,1,USED,67.62,67.62
76269,sh0915,,1,NEW,20.04,20.04
76269,sh0915,,1,USED,13.74,13.74
76269,sh0928,,1,NEW,14.42,14.42
76269,sh0928,,1,USED,13.48,13.48
76269,sh0924,,1,NEW,49.54,49.54
76269,sh0924,,1,USED,45.75,45.75
76269,sh0916,,1,NEW,153.92,153.92
76269,sh0916,,1,USED,137.14,137.14
76269,sh0819,,1,NEW,22.86,22.86
76269,sh0819,,1,USED,19.30,19.30
76269,sh0826,,1,NEW,7.85,7.85
76269,sh0826,,1,USED,6.76,6.76
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,11.22,11.22
75192,sw0676,,1,USED,7.50,7.50
