Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,68.01,68.01
76031,sh0173,,1,USED,62.87,62.87
76031,sh0173,,1,NEW,68.01,68.01
76031,sh0173,,1,USED,62.87,62.87
76031,sh0173,,1,NEW,68.01,68.01
76031,sh0173,,1,USED,62.87,62.87
76031,sh0167,,1,NEW,62.56,62.56
76031,sh0167,,1,USED,63.50,63.50
76031,sh0174,,1,NEW,63.74,63.74
76031,sh0174,,1,USED,61.66,61.66
76031,sh0175,,1,NEW,63.62,63.62
76031,sh0175,,1,USED,63.43,63.43
76031,sh0173,,1,NEW,68.01,68.01
76031,sh0173,,1,USED,62.87,62.87
76031,sh0167,,1,NEW,62.56,62.56
76031,sh0167,,1,USED,63.50,63.50
76031,sh0174,,1,NEW,63.74,63.74
76031,sh0174,,1,USED,61.66,61.66
76031,sh0175,,1,NEW,63.62,63.62
76031,sh0175,,1,USED,63.43,63.43
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76210,sh0850,,1,NEW,145.99,145.99
76210,sh0850,,1,USED,134.36,134.36
76031,sh0173,,1,NEW,61.28,61.28
76031,sh0173,,1,USED,39.17,39.17
76031,sh0167,,1,NEW,39.31,39.31
76031,sh0167,,1,USED,19.83,19.83
76031,sh0174,,1,NEW,38.95,38.95
76031,sh0174,,1,USED,15.58,15.58
76031,sh0175,,1,NEW,45.62,45.62
76031,sh0175,,1,USED,25.06,25.06
75192,sw0661,,1,NEW,13.38,13.38
75192,sw0661,,1,USED,8.33,8.33
75192,sw0700,,1,NEW,15.53,15.53
75192,sw0700,,1,USED,10.81,10.81
75192,sw0532,,1,NEW,12.99,12.99
75192,sw0532,,1,USED,9.78,9.78
75192,sw0676,,1,NEW,11.90,11.90
75192,sw0676,,1,USED,7.69,7.69
75192,sw0879,,1,NEW,76.35,76.35
75192,sw0879,,1,USED,64.53,64.53
75192,sw0841,,1,NEW,47.04,47.04
75192,sw0841,,1,USED,31.75,31.75
75192,sw0878,,1,NEW,69.78,69.78
75192,sw0878,,1,USED,58.43,58.43
75192,sw0677,,1,NEW,15.27,15.27
75192,sw0677,,1,USED,9.41,9.41
75192,sw0661,,1,NEW,13.38,13.38
75192,sw0661,,1,USED,8.33,8.33
75192,sw0700,,1,NEW,15.53,15.53
75192,sw0700,,1,USED,10.81,10.81
75192,sw0532,,1,NEW,12.99,12.99
75192,sw0532,,1,USED,9.78,9.78
75192,sw0676,,1,NEW,11.90,11.90
75192,sw0676,,1,USED,7.69,7.69
75192,sw0879,,1,NEW,76.35,76.35
75192,sw0879,,1,USED,64.53,64.53
75192,sw0841,,1,NEW,47.04,47.04
75192,sw0841,,1,USED,31.75,31.75
75192,sw0878,,1,NEW,69.78,69.78
75192,sw0878,,1,USED,58.43,58.43
75192,sw0677,,1,NEW,15.27,15.27
75192,sw0677,,1,USED,9.41,9.41
10210,pi116,,1,NEW,43.47,43.47
10210,pi116,,1,USED,28.60,28.60
10210,pi121,,1,NEW,79.42,79.42
10210,pi121,,1,USED,84.95,84.95
10210,pi117,,1,NEW,53.64,53.64
10210,pi117,,1,USED,51.08,51.08
10210,pi119,,1,NEW,58.82,58.82
10210,pi119,,1,USED,26.90,26.90
10210,pi098,,1,NEW,34.71,34.71
10210,pi098,,1,USED,19.53,19.53
10210,pi087,,1,NEW,35.45,35.45
10210,pi087,,1,USED,21.97,21.97
10210,pi118,,1,NEW,40.34,40.34
10210,pi118,,1,USED,21.57,21.57
10210,pi090,,1,NEW,32.30,32.30
10210,pi090,,1,USED,22.75,22.75
10210,pi120,,1,NEW,56.89,56.89
10210,pi120,,1,USED,24.54,24.54
21322,idea065,,1,NEW,32.78,32.78
21322,idea065,,1,USED,28.41,28.41
21322,idea071,,1,NEW,11.60,11.60
21322,idea071,,1,USED,7.63,7.63
21322,idea067,,1,NEW,14.70,14.70
21322,idea067,,1,USED,12.94,12.94
21322,idea069,,1,NEW,13.84,13.84
21322,idea069,,1,USED,11.39,11.39
21322,idea066,,1,NEW,14.31,14.31
21322,idea066,,1,USED,10.44,10.44
21322,idea070,,1,NEW,20.66,20.66
21322,idea070,,1,USED,15.30,15.30
21322,gen141,,1,NEW,6.49,6.49
21322,gen141,,1,USED,5.17,5.17
21322,gen047,,1,NEW,5.53,5.53
21322,gen047,,1,USED,4.76,4.76
21322,idea068,,1,NEW,13.57,13.57
21322,idea068,,1,USED,9.98,9.98
21322,idea072,,1,NEW,17.57,17.57
21322,idea072,,1,USED,14.00,14.00
75192,sw0661,,1,NEW,13.38,13.38
75192,sw0661,,1,USED,8.33,8.33
75192,sw0700,,1,NEW,15.53,15.53
75192,sw0700,,1,USED,10.81,10.81
75192,sw0532,,1,NEW,12.99,12.99
75192,sw0532,,1,USED,9.78,9.78
75192,sw0676,,1,NEW,11.90,11.90
75192,sw0676,,1,USED,7.69,7.69
75192,sw0879,,1,NEW,76.35,76.35
75192,sw0879,,1,USED,64.53,64.53
75192,sw0661,,1,NEW,13.38,13.38
75192,sw0661,,1,USED,8.33,8.33
75192,sw0841,,1,NEW,47.04,47.04
75192,sw0841,,1,USED,31.75,31.75
75192,sw0700,,1,NEW,15.53,15.53
75192,sw0700,,1,USED,10.81,10.81
75192,sw0878,,1,NEW,69.78,69.78
75192,sw0878,,1,USED,58.43,58.43
75192,sw0532,,1,NEW,12.99,12.99
75192,sw0532,,1,USED,9.78,9.78
75192,sw0677,,1,NEW,15.27,15.27
75192,sw0677,,1,USED,9.41,9.41
75192,sw0676,,1,NEW,11.90,11.90
75192,sw0676,,1,USED,7.69,7.69
75192,sw0879,,1,NEW,76.35,76.35
75192,sw0879,,1,USED,64.53,64.53
10210,pi116,,1,NEW,43.47,43.47
10210,pi116,,1,USED,28.60,28.60
75192,sw0841,,1,NEW,47.04,47.04
75192,sw0841,,1,USED,31.75,31.75
10210,pi121,,1,NEW,79.42,79.42
10210,pi121,,1,USED,84.95,84.95
75192,sw0878,,1,NEW,69.78,69.78
75192,sw0878,,1,USED,58.43,58.43
10210,pi117,,1,NEW,53.64,53.64
10210,pi117,,1,USED,51.08,51.08
75192,sw0677,,1,NEW,15.27,15.27
75192,sw0677,,1,USED,9.41,9.41
10210,pi119,,1,NEW,58.82,58.82
10210,pi119,,1,USED,26.88,26.88
10210,pi098,,1,NEW,34.71,34.71
10210,pi098,,1,USED,19.53,19.53
10210,pi116,,1,NEW,43.47,43.47
10210,pi116,,1,USED,28.60,28.60
10210,pi087,,1,NEW,35.45,35.45
10210,pi087,,1,USED,21.97,21.97
10210,pi121,,1,NEW,79.42,79.42
10210,pi121,,1,USED,84.95,84.95
10210,pi118,,1,NEW,40.34,40.34
10210,pi118,,1,USED,21.57,21.57
10210,pi117,,1,NEW,53.64,53.64
10210,pi117,,1,USED,51.08,51.08
10210,pi090,,1,NEW,32.30,32.30
10210,pi090,,1,USED,22.75,22.75
10210,pi120,,1,NEW,56.89,56.89
10210,pi120,,1,USED,24.54,24.54
10210,pi119,,1,NEW,58.82,58.82
10210,pi119,,1,USED,26.88,26.88
10210,pi098,,1,NEW,34.71,34.71
10210,pi098,,1,USED,19.53,19.53
10210,pi087,,1,NEW,35.45,35.45
10210,pi087,,1,USED,21.97,21.97
21322,idea065,,1,NEW,32.78,32.78
21322,idea065,,1,USED,28.41,28.41
10210,pi118,,1,NEW,40.34,40.34
10210,pi118,,1,USED,21.57,21.57
21322,idea071,,1,NEW,11.60,11.60
21322,idea071,,1,USED,7.63,7.63
10210,pi090,,1,NEW,32.30,32.30
10210,pi090,,1,USED,22.75,22.75
21322,idea067,,1,NEW,14.70,14.70
21322,idea067,,1,USED,12.94,12.94
10210,pi120,,1,NEW,56.89,56.89
10210,pi120,,1,USED,24.54,24.54
21322,idea069,,1,NEW,13.84,13.84
21322,idea069,,1,USED,11.39,11.39
21322,idea066,,1,NEW,14.31,14.31
21322,idea066,,1,USED,10.44,10.44
21322,idea070,,1,NEW,20.66,20.66
21322,idea070,,1,USED,15.30,15.30
21322,gen141,,1,NEW,6.49,6.49
21322,gen141,,1,USED,5.17,5.17
21322,gen047,,1,NEW,5.53,5.53
21322,gen047,,1,USED,4.75,4.75
21322,idea068,,1,NEW,13.57,13.57
21322,idea068,,1,USED,9.98,9.98
21322,idea072,,1,NEW,17.57,17.57
21322,idea072,,1,USED,14.00,14.00
75192,sw0661,,1,NEW,13.38,13.38
75192,sw0661,,1,USED,8.33,8.33
75192,sw0700,,1,NEW,15.53,15.53
75192,sw0700,,1,USED,10.81,10.81
75192,sw0532,,1,NEW,12.99,12.99
75192,sw0532,,1,USED,9.78,9.78
75192,sw0676,,1,NEW,11.90,11.90
75192,sw0676,,1,USED,7.69,7.69
75192,sw0879,,1,NEW,76.35,76.35
75192,sw0879,,1,USED,64.53,64.53
75192,sw0841,,1,NEW,47.04,47.04
75192,sw0841,,1,USED,31.75,31.75
75192,sw0878,,1,NEW,69.78,69.78
75192,sw0878,,1,USED,58.43,58.43
75192,sw0677,,1,NEW,15.27,15.27
75192,sw0677,,1,USED,9.41,9.41
76042,sh0186,,1,NEW,23.76,23.76
76042,sh0186,,1,USED,10.26,10.26
76042,sh0184,,1,NEW,50.93,50.93
76042,sh0184,,1,USED,28.67,28.67
76042,90398pb002,,1,NEW,115.64,115.64
76042,90398pb002,,1,USED,96.79,96.79
76042,sh0172,,1,NEW,30.85,30.85
76042,sh0172,,1,USED,11.76,11.76
76042,90398pb003,,1,NEW,39.78,39.78
76042,90398pb003,,1,USED,26.19,26.19
76042,90398pb004c01,,1,NEW,224.37,224.37
76042,90398pb004c01,,1,USED,165.83,165.83
76042,sh0183,,1,NEW,83.19,83.19
76042,sh0183,,1,USED,76.50,76.50
76042,sh0185,,1,NEW,64.76,64.76
76042,sh0185,,1,USED,56.23,56.23
76042,90398pb005,,1,NEW,52.05,52.05
76042,90398pb005,,1,USED,30.29,30.29
76042,90398pb006,,1,NEW,8.92,8.92
76042,90398pb006,,1,USED,5.31,5.31
76042,sh0186,,1,NEW,23.76,23.76
76042,sh0186,,1,USED,10.26,10.26
76042,sh0184,,1,NEW,50.93,50.93
76042,sh0184,,1,USED,28.67,28.67
76042,90398pb002,,1,NEW,115.64,115.64
76042,90398pb002,,1,USED,96.79,96.79
76042,sh0172,,1,NEW,30.85,30.85
76042,sh0172,,1,USED,11.76,11.76
76042,90398pb003,,1,NEW,39.78,39.78
76042,90398pb003,,1,USED,26.19,26.19
76042,90398pb004c01,,1,NEW,224.37,224.37
76042,90398pb004c01,,1,USED,165.83,165.83
76042,sh0183,,1,NEW,83.19,83.19
76042,sh0183,,1,USED,76.50,76.50
76042,sh0185,,1,NEW,64.76,64.76
76042,sh0185,,1,USED,56.23,56.23
76042,90398pb005,,1,NEW,52.05,52.05
76042,90398pb005,,1,USED,30.29,30.29
76042,90398pb006,,1,NEW,8.92,8.92
76042,90398pb006,,1,USED,5.31,5.31
76313,sh1012,,1,NEW,14.59,14.59
76313,sh1012,,1,USED,10.81,10.81
76313,sh1011,,1,NEW,43.86,43.86
76313,sh1011,,1,USED,41.24,41.24
76313,sh1013,,1,NEW,29.80,29.80
76313,sh1013,,1,USED,28.27,28.27
76313,sh1015,,1,NEW,37.27,37.27
76313,sh1015,,1,USED,36.26,36.26
76313,sh1014,,1,NEW,22.31,22.31
76313,sh1014,,1,USED,21.81,21.81
76315,sh1041,,1,NEW,24.31,24.31
76315,sh1041,,1,USED,20.79,20.79
76315,sh1042,,1,NEW,4.94,4.94
76315,sh1042,,1,USED,7.56,7.56
76315,sh1040,,1,NEW,29.64,29.64
76315,sh1040,,1,USED,25.23,25.23
76315,sh0974,,1,NEW,16.08,16.08
76315,sh0974,,1,USED,13.42,13.42
76315,sh1038,,1,NEW,56.16,56.16
76315,sh1038,,1,USED,50.84,50.84
76315,sh1039,,1,NEW,13.73,13.73
76315,sh1039,,1,USED,11.03,11.03
77243,sc123,,1,NEW,16.82,16.82
77243,sc123,,1,USED,9.87,9.87
30163,sh0018,,1,NEW,27.03,27.03
30163,sh0018,,1,USED,10.93,10.93
76307,sh1008,,1,NEW,17.07,17.07
76307,sh1008,,1,USED,16.20,16.20
76307,sh1009,,1,NEW,22.51,22.51
76307,sh1009,,1,USED,21.41,21.41
76287,sh0982,,1,NEW,15.55,15.55
76287,sh0982,,1,USED,12.56,12.56
76287,sh0981,,1,NEW,17.45,17.45
76287,sh0981,,1,USED,13.38,13.38
76320,sh1015,,1,NEW,37.27,37.27
76320,sh1015,,1,USED,36.26,36.26
76320,sh1092,,1,NEW,19.75,19.75
76320,sh1092,,1,USED,22.33,22.33
30452,sh0575,,1,NEW,19.21,19.21
30452,sh0575,,1,USED,15.45,15.45
5002946,sh0232,,1,NEW,333.34,333.34
5002946,sh0232,,1,USED,249.28,249.28
